grantee,grantee_url,description,Award Date,Amount,Term,Program
"D-tree International, Inc.",http://www.d-tree.org,To expand and sustain D-tree’s Community Case Management work with community health workers in Malawi.,12/ 3/2014,"$600,000",24 months,Global
"EdVestors, Inc.",http://www.edvestors.org,To provide operating support.,12/ 3/2014,"$450,000",36 months,Education
"Energy Consumers Alliance of New England, Inc. d/b/a Massachusetts Energy Consumers Alliance",http://www.massenergy.org,"To support clean-energy and energy-efficiency policy education and resources, and to pilot a project on the deployment of renewable thermal technology.",12/ 3/2014,"$125,000",12 months,Climate
"Four Corners Action Coalition, Inc.",http://www.gfcac.org,To support a transit access and equity project that will increase the use and capacity of Boston's Fairmont-Indigo line.,12/ 3/2014,"$150,000",15 months,Climate
"Four Corners Action Coalition, Inc.",http://www.gfcac.org,"To support On the Move: The Greater Boston Transportation Justice Coalition's Regional Transportation Equity Project, promoting transportation projects that benefit low-income riders and communities of color in Boston.",12/ 3/2014,"$100,000",27 months,Climate
Freedom From Hunger,http://www.freedomfromhunger.org,"To improve the nutrition of marginalized, rural women and adolescent girls by working with 8,000 women’s self-help group members in Rajasthan, India.",12/ 3/2014,"$500,000",30 months,Global
Georgetown University,http://www.georgetown.edu,To help the Georgetown Climate Center's Transportation and Climate Initiative measure progress toward transportation-related greenhouse gas reduction targets and facilitate state-level discussions that support those targets.,12/ 3/2014,"$250,000",27 months,Climate
Health Care Without Harm,https://noharm-uscanada.org/boston,To provide technical assistance on greenhouse-gas reduction efforts in the Boston healthcare sector.,12/ 3/2014,"$590,000",24 months,Climate
"Huntington Theatre Company, Inc.",http://www.huntingtontheatre.org,"To provide capacity-building support in the form of multi-year operating support, training, and technical assistance through the Barr-Klarman Arts Capacity Building Initiative.",12/ 3/2014,"$250,000",24 months,Arts & Creativity
Institute of Contemporary Art,http://www.icaboston.org,"To provide capacity-building support in the form of multi-year operating support, training, and technical assistance through the Barr-Klarman Arts Capacity Building Initiative.",12/ 3/2014,"$250,000",24 months,Arts & Creativity
Interaction Institute for Social Change,http://www.interactioninstitute.org,"To design and facilitate Go Boston 2030, the City of Boston’s mobility visioning process.",12/ 3/2014,"$600,000",12 months,Climate
International Development Enterprises (India),http://www.ide-india.org,"To support the adoption of treadle pumps for more efficient and sustainable irrigation by smallholder farmers in Assam, India.",12/ 3/2014,"$1,000,000",60 months,Global
"Isabella Stewart Gardner Museum, Inc.",http://www.gardnermuseum.org,"To provide capacity-building support in the form of multi-year operating support, training, and technical assistance through the Barr-Klarman Arts Capacity Building Initiative.",12/ 3/2014,"$250,000",24 months,Arts & Creativity
"Massachusetts Business Alliance for Education, Inc.",http://www.mbae.org,To develop an action plan based on the findings in The New Opportunity to Lead report.,12/ 3/2014,"$200,000",24 months,Education
"Massachusetts Immigrant and Refugee Advocacy Coalition, Inc.",http://www.miracoalition.org,To support immigrant and refugee early education and care workforce research and development.,12/ 3/2014,"$70,000",24 months,Education
Massachusetts Institute of Technology,http://www.mit.edu,"To refine and integrate two platforms, CityScope and e-BRT, into a LEGOs-based public-engagement tool to advance Bus Rapid Transit (BRT) learning and conversation at the community level.",12/ 3/2014,"$310,000",12 months,Climate
MASSCreative,http://www.mass-creative.org,To support an operations planning process.,12/ 3/2014,"$60,000",18 months,Arts & Creativity
"Mass Insight Education and Research Institute, Inc",http://www.massinsight.org,"To launch the pilot “College Success Community” in East Boston and Charlestown, and to further refine the model.",12/ 3/2014,"$500,000",36 months,Education
Nonprofit Finance Fund,http://www.nff.org,To provide financial consulting to Chelsea Collaborative.,12/ 3/2014,"$60,000",6 months,Sector Effectiveness
"Organizing and Leadership Training Center, Inc.",http://www.mcan-pico.org,To provide operating support.,12/ 3/2014,"$120,000",24 months,Education
President and Fellows of Harvard College,http://www.harvard.edu,To support the Harvard University Achievement Gap Initiative's Leading Edge of Early Childhood Education: Linking Science to Policy for a New Generation of Pre-Kindergarten conference.,12/ 3/2014,"$5,000",12 months,Memberships & Sponsorships
"Root Cause Institute, Inc.",http://www.rootcause.org,To research best practices in youth development programs for Black and Latino youth in Boston.,12/ 3/2014,"$35,000",12 months,Education
"The Boston Private Industry Council, Inc.",http://www.bostonpic.org,"To develop a formal ""second chance"" system that addresses the needs of disconnected Boston youth ages 16 to 24.",12/ 3/2014,"$100,000",12 months,Education
"The Center for Effective Philanthropy, Inc.",http://www.effectivephilanthropy.org,To support core operations and leadership development activities for CEP’s senior team.,12/ 3/2014,"$500,000",36 months,Sector Effectiveness
"The Massachusetts Institute for a New Commonwealth, Inc.",http://www.massinc.org,To conduct two surveys in the Dudley Square community to understand bus-rider needs and current challenges.,12/ 3/2014,"$75,000",6 months,Climate
Transportation for America,http://www.smartgrowthamerica.org,To harness learnings from state and local efforts to elevate Massachusetts as a national model for sustainable transportation.,12/ 3/2014,"$200,000",21 months,Climate
UP Education Network,http://www.unlocking-potential.org,To restart a fourth Boston Public School.,12/ 3/2014,"$300,000",24 months,Education
"YouthBuild USA, Inc.",http://www.youthbuild.org,To advance the Youth on Board youth organizing strategy in Boston.,12/ 3/2014,"$50,000",12 months,Education
"Ideas in Action, Inc.",http://www.tedxbeaconstreet.com,To support the 2014 TEDxBeaconStreet conference and adventures.,10/16/2014,"$10,000",12 months,Sector Effectiveness
"Community Labor United, Inc.",http://massclu.org,To engage in an initial planning process to develop a long-term vision that positions concerns of low-income communities at the center of programs and initiatives designed to address climate change.,10/14/2014,"$14,000",3 months,Climate
"Enterprise Community Partners, Inc.",http://www.enterprisecommunity.org,"To support the 2014 Bruner-Loeb Forum, Design for Equity, focusing on urban equity.",10/14/2014,"$20,000",12 months,Climate
Mayor's Office of New Bostonians,http://www.cityofboston.gov/newbostonians,To support We Are Boston 2014.,10/14/2014,"$2,500",12 months,Memberships & Sponsorships
Population Foundation of India,http://www.populationfoundation.in,To provide scholarship support for the 2014 Dasra Forum.,10/14/2014,"$2,500",12 months,Global
"Hyde Square Task Force, Inc.",http://www.hydesquare.org,To support the 2014 Making Change Happen event.,9/18/2014,"$2,500",12 months,Memberships & Sponsorships
Agronomes et Vétérinaires Sans Frontières,http://www.avsf.org,"To reinforce and expand an innovative model for watershed restoration, conservation, and preservation in Haiti.",9/17/2014,"$800,000",48 months,Global
"Bessie Tartt Wilson Initiative for Children, Inc.",http://www.btwic.org,To support professional development for early-childhood educators.,9/17/2014,"$250,000",24 months,Education
Boston Medical Center Corporation,http://www.bmc.org,To consolidate key hospital functions and modernize major facilities. A portion of this grant was recommended and paid through a donor-advised fund.,9/17/2014,"$5,000,000",60 months,Founding Trustee-directed
"Carbon Roots International, Inc.",http://www.carbonrootsinternational.org,To pilot green charcoal production and sales in Northern Haiti.,9/17/2014,"$400,000",24 months,Global
Centre for Catalyzing Change,http://www.cedpaindia.org,"To expand programs for adolescents in the West Singhbhum district of Jharkhand, India.",9/17/2014,"$500,000",36 months,Global
City of Boston,http://www.cityofboston.gov,To hire a Climate Preparedness Fellow for two years.,9/17/2014,"$150,000",24 months,Climate
"Conservatory Lab Charter School Foundation, Inc.",http://www.conservatorylab.org,To support the “Securing a Sound Future” campaign to create a permanent school facility and supporting expanded enrollment. A portion of this grant was recommended and paid through a donor-advised fund.,9/17/2014,"$1,500,000",36 months,Founding Trustee-directed
"Environment America Research and Policy Center, Inc.",http://environmentamericacenter.org,To implement educational campaigns that help Massachusetts and other New England states meet their climate action commitments.,9/17/2014,"$300,000",24 months,Climate
Fidelity Charitable Gift Fund,http://www.charitablegift.org,To support grantmaking.,9/17/2014,"$1,000,000",12 months,
Food and Agricultural Research Management Limited (Farm Africa UK),http://www.farmafrica.org/us,"To increase income for coffee farmers and conserve 149,200 hectares of the Afromontane Forest in Western Oromia, Ethiopia.",9/17/2014,"$800,000",36 months,Global
FoProBiM,http://www.foprobim.org/,"To develop sustainable alternative sources of income for coastal community stakeholders in Caracol Bay, Haiti, while protecting local biodiversity.",9/17/2014,"$600,000",60 months,Global
Innovation Network for Communities,http://www.in4c.net,To support the Boston Climate Finance Summit.,9/17/2014,"$20,000",12 months,Climate
"KickStart-International, Inc.",http://www.kickstart.org,To promote the use of MoneyMaker water pumps by smallholder farmers in Kenya.,9/17/2014,"$200,000",15 months,Global
"Livable Streets Transportation Alliance of Boston, Inc.",http://www.livablestreets.info,To begin a long-term public engagement strategy to advance Boston as a model city for bus rapid transit and sustainable urban mobility.,9/17/2014,"$50,000",12 months,Climate
"Livable Streets Transportation Alliance of Boston, Inc.",http://www.livablestreets.info,"To support the Greenway Links Initiative, a project to build a mixed-use network of linear parks and green streets in Greater Boston.",9/17/2014,"$25,000",12 months,Climate
MAMTA Health Institute for Mother and Child,http://www.mamta-himc.org,"To design, implement, and test a district-level model addressing the health and pregnancy planning needs of young married women in India.",9/17/2014,"$300,000",36 months,Global
"Massachusetts Coalition for Occupational Safety and Health, Inc.",http://www.masscosh.org,"To research zero-waste practices, increase the recycling rate in Boston, and reduce greenhouse-gas emissions affiliated with solid-waste production and disposal.",9/17/2014,"$100,000",24 months,Climate
"Massachusetts Voter Education Network, Inc.",http://www.massvote.org,"To support Future Boston Alliance to build Boston Youth Voice, strengthening the Boston youth-art ecosystem and ensuring Boston's indigenous creative youth are supported.",9/17/2014,"$165,000",24 months,Arts & Creativity
"National Consumer Law Center, Inc.",http://www.nclc.org,To monitor energy-efficiency policies to ensure low- to moderate- income households reap the benefits of energy policies.,9/17/2014,"$60,000",24 months,Climate
"New England Foundation for the Arts, Inc.",http://www.nefa.org,"To help establish the Creative City initiative, expanding the diversity of imaginative, quality public art in Greater Boston and the infrastructure to support it. A portion of this grant was recommended and paid through a donor-advised fund.",9/17/2014,"$1,700,000",48 months,Arts & Creativity
"New England Grassroots Environment Fund, Inc.",http://www.grassrootsfund.org,"To support the New England Local Energy Network, which includes representatives from nonprofits, state agencies, planning commissions, and local groups focused on local energy and climate action.",9/17/2014,"$60,000",24 months,Climate
Pathfinder International,http://www.pathfind.org,"To expand the integrated Population, Health, and the Environment program in the Greater Mahale Ecosystem in Tanzania.",9/17/2014,"$800,000",24 months,Global
Stichting European Climate Foundation,http://europeanclimate.org,To support energy initiatives that reduce carbon emissions.,9/17/2014,"$2,000,000",24 months,Climate
Urban Age Institute,http://www.cityminded.org,"To support the 2015 Meeting of the Minds conference and follow-up activities, focusing on alternative urban futures and how cities redefine themselves to be more efficient, greener, and cleaner economic clusters.",9/17/2014,"$35,000",12 months,Climate
Wheelock College,http://www.wheelock.edu,"To expand and strengthen the Boston Family Engagement Partnership, which promotes parent engagement in Boston's district, charter, and parochial schools.",9/17/2014,"$75,000",12 months,Education
National Association of Latino Arts and Culture,http://www.nalac.org,To offer scholarships to the 2014 Regional Arts Training Workshop for New England.,9/10/2014,"$4,000",12 months,Memberships & Sponsorships
"A Better City Initiative, Inc.",http://www.abettercity.org,To support the 2014 Norman B. Leventhal Excellence in City Building Awards.,9/ 9/2014,"$2,500",12 months,Memberships & Sponsorships
United Way of Massachusetts Bay and Merrimack Valley,http://supportunitedway.org,To support Massachusetts Budget and Policy Center's Boston universal pre-K cost analysis.,8/18/2014,"$13,500",6 months,Education
DASRA,http://www.dasra.org,To support the first annual Dasra Philanthropy Forum.,7/21/2014,"$5,000",12 months,Global
"The Aspen Institute, Inc.",http://www.aspeninstitute.org/policy-work/nonprofit-philanthropy/apg,Barr Foundation member support for the Aspen Philanthropy Group,7/ 1/2014,"$15,000",12 months,Memberships & Sponsorships
Boston College Trustees,http://bc.edu,To support a forum on philanthropy at Boston College Law School.,6/30/2014,"$5,000",3 months,Memberships & Sponsorships
"Third Sector New England, Inc.",http://www.tsne.org,"To research and publish Leadership New England, a report on nonprofit executive leadership.",6/19/2014,"$5,000",12 months,Sector Effectiveness
"Abekam, Inc.",http://www.abekam.org,"To support year two of PENSOLE, a piloted summer career-development program at MIT for public high-school students from Boston and Cambridge.",6/ 4/2014,"$50,000",12 months,Education
"Abekam, Inc.",http://www.abekam.org,Barr Foundation member support for New England Blacks in Philanthropy,6/ 4/2014,"$1,500",12 months,Memberships & Sponsorships
"A Better City Initiative, Inc.",http://www.abettercity.org,To research effective parking policies and practices and to reduce single-occupancy driving in the City of Boston.,6/ 4/2014,"$80,000",12 months,Climate
African Community Economic Development Organization of New England,http://acedone.org,To build organizational capacity.,6/ 4/2014,"$250,000",24 months,Sector Effectiveness
"Associated Grant Makers, Inc.",http://www.agmconnect.org,"To support summer camp opportunities, summer learning, and program evaluation through The Summer Fund.",6/ 4/2014,"$300,000",24 months,Education
Boston After School and Beyond,http://www.bostonbeyond.org,"To support the Summer Learning Project, which aims to reverse summer learning loss; to improve skills associated with school, college, and career success; and to deepen school-community partnerships.",6/ 4/2014,"$800,000",24 months,Education
"Boston Educational Development Foundation, Inc.",http://www.bostonpublicschools.org,"To develop and implement an integrated, developmentally appropriate K–2 literacy curriculum in the Boston Public Schools.",6/ 4/2014,"$1,996,550",48 months,Education
"BRAC USA, Inc.",http://www.bracusa.org,"To support the Empowerment and Livelihood for Adolescents program in Uganda, serving girls ages 13 to 21.",6/ 4/2014,"$800,000",24 months,Global
"Centro Latino, Inc.",http://www.centrolatino.org,To build organizational capacity.,6/ 4/2014,"$150,000",12 months,Sector Effectiveness
City of Boston,http://www.cityofboston.gov,To support two Greenovate Boston Fellows to act as environmental sustainability champions across city departments and in the community.,6/ 4/2014,"$170,000",12 months,Climate
City of Boston,http://www.cityofboston.gov,To provide staffing support to facilitate a citywide visioning process and detailed action plan for integrating and empowering immigrants in Boston.,6/ 4/2014,"$262,500",30 months,Sector Effectiveness
Codman Academy Foundation,http://www.codmanacademy.org,To support Codman Academy’s expansion from 145 high-school students to 345 students in kindergarten through 12th grade.,6/ 4/2014,"$1,000,000",24 months,Founding Trustee-directed
Cultural Data Project,http://www.culturaldata.org,To provide operating support as CDP transitions to an independent 501(c)(3) organization and to expand CDP's database.,6/ 4/2014,"$112,500",18 months,Arts & Creativity
"Dudley Street Neighborhood Initiative, Inc.",http://www.dsni.org,To build capacity for and expand creative placemaking along the Fairmount and Dudley corridors.,6/ 4/2014,"$500,000",24 months,Arts & Creativity
"Farm Africa USA, Inc.",http://www.farmafrica.org,"To increase income for coffee farmers and conserve 149,200 hectares of the Afromontane Forest in Western Oromia, Ethiopia.",6/ 4/2014,$0,36 months,Global
"Friends of Excel Academy, Inc.",http://www.excelacademy.org,To support a new academic campus in East Boston.,6/ 4/2014,"$200,000",12 months,Education
"Friends of Excel Academy, Inc.",http://www.excelacademy.org,To support a new academic campus in East Boston.,6/ 4/2014,"$300,000",12 months,Founding Trustee-directed
Local Initiatives Support Corporation,http://www.bostonlisc.org,"To support the Green Retrofit Initiative, which increases the deployment of energy efficiency and clean-energy technologies in the Massachusetts affordable housing sector.",6/ 4/2014,"$500,000",24 months,Climate
"Massachusetts Advocates for Children, Inc.",http://www.massadvocates.org,"To engage community stakeholders on issues of priority for Boston Public Schools, such as human capital, dual-language programs, and the superintendent search.",6/ 4/2014,"$100,000",9 months,Education
Metropolitan Area Planning Council,http://www.mapc.org,"To support the Clean Energy Initiative, which helps Greater Boston municipalities implement strategies for energy management and the increased use of renewable energy.",6/ 4/2014,"$500,000",24 months,Climate
"Nurtury, Inc.",http://www.nurturyboston.org,To launch the Learning Center at Bromley-Heath.,6/ 4/2014,"$200,000",12 months,Education
Oxfam America,http://www.oxfamamerica.org,"To support the System of Rice Intensification expansion project, increasing the food security, income, and resilience of farmers in the Artibonite Valley in Haiti.",6/ 4/2014,"$350,000",33 months,Global
"Proteus Fund, Inc.",http://www.proteusfund.org,To expand the Diversity Fellowship Program.,6/ 4/2014,"$70,000",12 months,Sector Effectiveness
Rennie Center for Education Research & Policy,http://www.renniecenter.org,To develop policy briefs on key strategies to improve outcomes for students in the Boston Public Schools.,6/ 4/2014,"$60,000",12 months,Education
Technical Development Corporation,http://www.tdcorp.org,"To provide oversight for the City of Boston's cultural planning process, Boston Creates, and to support the City in managing the planning.",6/ 4/2014,"$250,000",24 months,Arts & Creativity
United Nations Foundation,http://www.unfoundation.org,"To support the Global Alliance for Clean Cookstoves in coordinating, supporting, and disseminating the results of clean cooking and child survival research.",6/ 4/2014,"$220,000",24 months,Global
United Way of Massachusetts Bay and Merrimack Valley,http://supportunitedway.org,"To support Thrive in 5's implementation and evaluation of its Ready Educators Quality Improvement pilot, in partnership with United Way and the City of Boston.",6/ 4/2014,"$500,000",18 months,Education
VillageReach,http://www.villagereach.com,To provide scholarship support for the Global Health Symposium on Health Systems Research Conference in September 2014.,6/ 4/2014,"$2,500",12 months,Global
International Development Exchange,http://www.idex.org,"To offer scholarships to the 2014 Opportunity Collaboration conference in Ixtapa, Mexico.",5/ 7/2014,"$5,000",12 months,Global
"Boston Educational Development Foundation, Inc.",http://www.bostonpublicschools.org,To support the search for a new superintendent for the Boston Public Schools.,5/ 3/2014,"$50,000",6 months,Education
Boston Redevelopment Authority,http://www.bostonredevelopmentauthority.org,To facilitate a planning process by Seaport District stakeholders to identify pathways towards low-carbon district energy.,4/30/2014,"$13,900",12 months,Climate
"Abekam, Inc.",http://www.abekam.org,Barr Foundation member support for New England Blacks in Philanthropy,4/10/2014,"$1,500",12 months,Memberships & Sponsorships
"Boston Chinatown Neighborhood Center, Inc.",http://bcnc.net,To support Barr Fellows professional development.,3/31/2014,"$1,161",12 months,Sector Effectiveness
"Center for Community Health Education, Research and Service",,To support Barr Fellows professional development.,3/31/2014,$903,12 months,Sector Effectiveness
"Chelsea Collaborative, Inc.",http://www.chelseacollab.org,To support Barr Fellows professional development.,3/31/2014,$851,12 months,Sector Effectiveness
"Franklin Park Coalition, Inc.",http://www.franklinparkcoalition.org,To support Barr Fellows professional development.,3/31/2014,$908,12 months,Sector Effectiveness
"Haitian American Public Health Initiatives, Inc.",http://www.haphi.org,To support Barr Fellows professional development.,3/31/2014,$918,12 months,Sector Effectiveness
Oiste Civic Education Initiative,http://www.oiste.net,To support Barr Fellows professional development.,3/31/2014,$878,12 months,Sector Effectiveness
"Young Peoples Project, Inc.",http://www.typp.org,To support Barr Fellows professional development.,3/31/2014,$414,12 months,Sector Effectiveness
Hispanics in Philanthropy,http://www.hiponline.org,To support Hispanics in Philanthropy's 30th-anniversary celebration.,3/20/2014,"$5,000",12 months,Memberships & Sponsorships
"Vermont Natural Resources Council, Inc.",http://vnrc.org,To support two retreats.,3/12/2014,"$5,000",12 months,Memberships & Sponsorships
"Boston Educational Development Foundation, Inc.",http://www.bostonpublicschools.org,To support Phase II of the District Management Council's work on the Boston Public Schools Data and Accountability Project.,3/ 7/2014,"$450,000",8 months,Education
"Boston Educational Development Foundation, Inc.",http://bostonpublicschools.org,To support Boston Green Academy's launch of a new middle school.,3/ 7/2014,"$100,000",36 months,Education
"Ceres, Inc.",http://www.ceres.org,To provide operating support.,3/ 7/2014,"$250,000",24 months,Founding Trustee-directed
"Conservation Law Foundation, Inc.",http://www.clf.org,"To support the Transportation for Massachusetts Coalition (T4MA)’s statewide coalition-building for public transit, walking, biking infrastructure, and smart growth, and to education the incoming state administration.",3/ 7/2014,"$695,000",12 months,Climate
Emerson College,http://www.emerson.edu,"To support a multi-year residency for Daniel Beaty, working at Emerson College and with Boston communities to address long-standing challenges of race, class, and equitable access to opportunity.",3/ 7/2014,"$350,000",36 months,Arts & Creativity
"English for New Bostonians, Inc.",http://www.englishfornewbostonians.org,To support Boston Public Schools immigrant parents' English-language learning and capacity to aid in their children's educational success.,3/ 7/2014,"$450,000",36 months,Education
Generations Incorporated,http://www.generaitonsinc.org,"To support the Read to Succeed Initiative, a new, three-year effort to ensure students are proficient readers by the end of third grade.",3/ 7/2014,"$100,000",24 months,Education
"NECEC Institute, Inc.",http://nececinstitute.org,"To support the New England Candidates for Clean Energy Initiative, which aims to educate New England gubernatorial candidates and the general public about clean energy and climate action during the 2014 campaign season.",3/ 7/2014,"$100,000",12 months,Climate
Neighborhood House Charter School,http://www.thenhcs.org,"To support the School Consulting Initiative, which provides professional development for teachers in South Dorchester and Mattapan.",3/ 7/2014,"$170,000",36 months,Education
North Bennet Street School,http://www.nbss.edu,To install solar-energy systems at school’s new building.,3/ 7/2014,"$200,000",6 months,Founding Trustee-directed
"Nurtury, Inc.",http://www.nurturyboston.org,"To establish a new Boston Early Childhood Data Center, in partnership with United Way and Thrive in 5.",3/ 7/2014,"$175,000",12 months,Education
One Day on Earth Foundation,http://www.onedayonearth.org,"To support One Day in Boston, a one-day filming event as part of the national Your Day. Your City. Your Future campaign.",3/ 7/2014,"$50,000",6 months,Sector Effectiveness
President and Fellows of Harvard College,http://www.harvard.edu,To support the Harvard Achievement Gap Initiative's Seeding Success social marketing initiative.,3/ 7/2014,"$50,000",12 months,Education
President and Fellows of Harvard College,http://www.harvard.edu,To support the Harvard Art Museums’ renovation and construction.,3/ 7/2014,"$5,000,000",36 months,Founding Trustee-directed
Project Hope,http://www.prohope.org,"To launch the Child Quality Care Initiative, a pilot project to train informal caregivers of children from birth to age five.",3/ 7/2014,"$75,000",12 months,Education
"Roca, Inc.",http://www.rocainc.org,"To support the Massachusetts Juvenile Justice Social Pay for Success project, designed to improve the lives of high-risk young men while reducing recidivism, saving taxpayer dollars, and promoting safer and stronger communities.",3/ 7/2014,"$500,000",24 months,Education
"Smart from the Start, Inc.",http://www.smartfromthestartboston.org,"To support core operations, infrastructure, development, and program expansions.",3/ 7/2014,"$525,000",36 months,Education
Smart Growth America,http://www.smartgrowthamerica.org,To support research to identify the potential for new walkable neighborhoods in Greater Boston.,3/ 7/2014,"$182,000",12 months,Climate
"The MATCH School Foundation, Inc.",http://www.matchschool.org,"To build a new, permanent school facility for 700 pre-kindergarten to 5th-grade students in the Hyde Park/Mattapan neighborhood.",3/ 4/2014,"$500,000",13 months,Founding Trustee-directed
"A Better City Initiative, Inc.",http://www.abettercity.org,To build A Better City Initiative's marketing and communications capacity.,2/ 6/2014,"$40,000",12 months,Climate
"LIFT, Inc.",http://www.liftcommunities.org/boston,To support the 2014 upLIFTing Awards celebration.,1/24/2014,"$1,000",12 months,Memberships & Sponsorships
Lift Up Africa,http://www.liftupafrica.org,Barr Foundation membership dues for Big Bang Philanthropy,1/23/2014,"$8,629",12 months,Memberships & Sponsorships
Fidelity Charitable Gift Fund,http://www.charitablegift.org,To support grantmaking.,12/ 9/2013,"$595,000",12 months,
"Alternatives for Community and Environment, Inc.",http://www.ace-ej.org,To provide operating support.,12/ 4/2013,"$30,000",6 months,Climate
Asian American-Pacific Islanders in Philanthropy,http://aapip.org,Barr Foundation member support for the Boston Chapter,12/ 4/2013,"$1,500",12 months,Memberships & Sponsorships
"Associated Grant Makers, Inc.",http://www.agmconnect.org,Barr Foundation membership,12/ 4/2013,"$17,350",12 months,Memberships & Sponsorships
"Associated Grant Makers, Inc.",http://www.agmconnect.org,Barr Foundation membership,12/ 4/2013,"$2,000",12 months,Memberships & Sponsorships
"Associated Grant Makers, Inc.",http://www.agmconnect.org,Barr Foundation member support for the Boston Social Justice Funders Network,12/ 4/2013,"$2,500",12 months,Memberships & Sponsorships
"Boston Arts Academy Foundation, Inc.",http://www.bostonartsacademy.org,"To support a new STEAM Laboratory (science, technology, engineering, arts, math).",12/ 4/2013,"$325,000",12 months,Founding Trustee-directed
Boston College Trustees,http://bc.edu,To support City Connects in Boston Public Schools.,12/ 4/2013,"$1,400,000",36 months,Education
"Boston Harbor Association, Inc.",https://www.bostonharbornow.org,To support the Living with Water climate-change preparedness indicators project.,12/ 4/2013,"$225,000",24 months,Climate
"Boston Municipal Research Bureau, Inc.",http://www.bmrb.org,Barr Foundation membership,12/ 4/2013,"$5,000",12 months,Memberships & Sponsorships
Boston Public Market Association,https://bostonpublicmarket.org,To support the campaign to build the Boston Public Market.,12/ 4/2013,"$1,000,000",12 months,Founding Trustee-directed
"Charles River Conservancy, Inc.",http://www.thecharles.org,To produce architectural renderings and advocate for construction of pedestrian underpasses for three high-traffic bridges that traverse the Charles River.,12/ 4/2013,"$48,000",6 months,Climate
City of Boston,http://www.cityofboston.gov,To hire a Greenovate Fellow to oversee the Boston Mobility Visioning process.,12/ 4/2013,"$200,000",24 months,Climate
City of Cambridge,https://www.cambridgema.gov,To pilot the Kendall Square EcoDistrict.,12/ 4/2013,"$210,000",24 months,Climate
"Conservation Law Foundation, Inc.",http://www.clf.org,"To support continued transportation, energy, and climate advocacy in Massachusetts and New England.",12/ 4/2013,"$1,300,000",36 months,Climate
Consultative Group on Biological Diversity,http://www.cgbd.org,Barr Foundation member support for the Climate and Energy Funders Group,12/ 4/2013,"$5,000",12 months,Memberships & Sponsorships
Environment Northeast d/b/a Acadia Center,http://www.env-ne.org,"To support EnergyVision research, analysis, and advocacy for future energy efficiency and clean-energy policies in Massachusetts.",12/ 4/2013,"$825,000",36 months,Climate
Fidelity Charitable Gift Fund,http://www.charitablegift.org,To support grantmaking.,12/ 4/2013,"$4,000,000",12 months,
"Funders’ Network for Smart Growth and Livable Communities, Inc.",http://www.fundersnetwork.org,Barr Foundation membership,12/ 4/2013,"$4,950",12 months,Memberships & Sponsorships
George Washington University,http://www.gwu.edu,To research and identify neighborhoods in Greater Boston with the greatest potential to become walkable urban places.,12/ 4/2013,$0,6 months,Climate
"Global Footprint Network, Inc.",http://www.footprintnetwork.org,"To create and test a Sustainable Development Return on Investment metric in nine to twelve villages in Orissa, India.",12/ 4/2013,"$350,000",24 months,Global
Grantmakers for Education,http://www.edfunders.org,Barr Foundation membership,12/ 4/2013,"$7,500",12 months,Memberships & Sponsorships
Grantmakers for Effective Organizations,http://www.geofunders.org,Barr Foundation membership,12/ 4/2013,"$9,750",12 months,Memberships & Sponsorships
Grantmakers in the Arts,http://www.giarts.org,Barr Foundation membership,12/ 4/2013,"$2,500",12 months,Memberships & Sponsorships
"Grants Managers Network, Inc.",http://www.gmnetwork.org,Barr Foundation membership,12/ 4/2013,"$3,837",12 months,Memberships & Sponsorships
Handel and Haydn Society,http://www.handelandhaydn.org,"To support the “Instrumental Voices” campaign, funding Bicentennial celebrations, strategic initiatives, and endowment growth.",12/ 4/2013,"$1,000,000",36 months,Founding Trustee-directed
Hispanics in Philanthropy,http://www.hiponline.org,Barr Foundation membership,12/ 4/2013,"$10,000",12 months,Memberships & Sponsorships
Innovation Network for Communities,http://www.in4c.net,To support the Green Ribbon Commission’s Transportation and Climate Preparedness working groups.,12/ 4/2013,"$150,000",36 months,Climate
Institute of Contemporary Art,http://www.icaboston.org,"To support the “Leadership and Legacy” campaign, funding endowment growth, a capital reserve fund, and an annual philanthropy program.",12/ 4/2013,"$5,000,000",60 months,Founding Trustee-directed
Jhpiego Corporation,http://www.jhpiego.org,"To train healthcare workers to manage postpartum hemorrhage and neonatal asphyxia, the two biggest killers of mothers and newborns in Uganda.",12/ 4/2013,"$800,000",24 months,Global
"LIFT, Inc.",http://www.liftcommunities.org/boston,"To support the Family Well-Being Project, in which volunteers help low-income and homeless families of Boston Public Schools children to set and reach housing, employment, and education goals.",12/ 4/2013,"$150,000",24 months,Sector Effectiveness
Local Initiatives Support Corporation,http://www.bostonlisc.org,To convene housing advocates and community developers for a series of conversations on reducing displacement of low- and moderate-income residents as a result of development.,12/ 4/2013,"$75,000",12 months,Climate
"Massachusetts Taxpayers Foundation, Inc.",http://www.masstaxpayers.org,Barr Foundation membership,12/ 4/2013,"$5,000",12 months,Memberships & Sponsorships
Metropolitan Area Planning Council,http://www.mapc.org,"To develop and begin implementing a strategic plan and workplan, with a particular focus on the Council’s Sustainable Communities Initiative. A portion of this grant was recommended and paid through a donor-advised fund.",12/ 4/2013,"$530,000",24 months,Climate
Nonprofit Finance Fund,http://www.nff.org,To provide financial-management support and technical assistance to three Barr Foundation grantees. A portion of this grant was recommended and paid through a donor-advised fund.,12/ 4/2013,"$800,000",60 months,Sector Effectiveness
