grantee,grantee_url,description,Award Date,Amount,Term,Program
"Boston Area Reggio Inspired Network, Inc.",https://wonderoflearningboston.org,"To support ""The Wonder of Learning Boston 2018"" symposium hosted in Boston, MA from June to December 2018.",4/ 5/2018,"$25,000",1 months,Memberships & Sponsorships
"Charles River Conservancy, Inc.",http://www.thecharles.org,"To support the Charles River Conservancy's Ribbon of Blue, Ribbon of Green Gala.",4/ 5/2018,"$15,000",12 months,Memberships & Sponsorships
Grantmakers for Effective Organizations,http://www.geofunders.org,To support 2018 Barr Foundation Membership Dues.,4/ 5/2018,"$12,000",12 months,Memberships & Sponsorships
Hispanics in Philanthropy,http://www.hiponline.org,To support Hispanics in Philanthropy's 2018 Conference and Gala.,4/ 5/2018,"$10,000",1 months,Memberships & Sponsorships
Massachusetts Department of Elementary and Secondary Education,http://www.doe.mass.edu/,To support an expert resident in 2018-2019 to support the development of Massachusetts Department of Elementary and Secondary Education's diversity and equity plans.,4/ 5/2018,"$75,000",12 months,Education
National Wildlife Federation,http://www.nwf.org,"To support education, analysis and communications in support of offshore wind in the Northeast.",4/ 5/2018,"$240,000",16 months,Climate
"New England Grassroots Environment Fund, Inc.",http://www.grassrootsfund.org,To support grassroots engagement that promotes clean energy deployment in New England.,4/ 5/2018,"$180,000",36 months,Climate
New Venture Fund,http://www.newventurefund.org,To support research on parent perceptions in rural communities in New England.,4/ 5/2018,"$75,000",9 months,Education
"Sponsor, Inc.",http://www.mission.earth/,Spring 2018 Conference Sponsorship for the New England Municipal Sustainability Network.,4/ 5/2018,"$5,000",1 months,Memberships & Sponsorships
"The Massachusetts Institute for a New Commonwealth, Inc.",http://www.massinc.org,To track public opinion on transportation leading up to the 2018 elections.,4/ 5/2018,"$282,000",8 months,Climate
"Lawyers Committee for Civil Rights Under Law of the Boston Bar Association, Inc.",http://lawyerscom.org,To support a website redesign in response to increasing demand for legal resources and information.,4/ 4/2018,"$55,000",6 months,Special Initiatives
"Enterprise Community Partners, Inc.",http://www.enterprisecommunity.org,To create a three-year strategy and workplan for the National Initiatives team.,4/ 1/2018,"$75,000",9 months,Climate
Chelsea Public Schools,http://www.chelseaschools.com,To support the launch of Chelsea Opportunity Academy as part of the Education ProgramÕs Engage New England: Doing High School Differently initiative.,3/29/2018,"$750,000",36 months,Education
Maine School Administrative District # 60,http://www.msad60.org/nhs/,To support the launch of a redesigned and expanded Multiple Pathways Program at Noble High School as part of the Education ProgramÕs Engage New England: Doing High School Differently initiative.,3/29/2018,"$750,000",36 months,Education
"Map Education, Inc.",http://www.themapacademy.org,To support the launch of Map Academy as part of the Education ProgramÕs Engage New England: Doing High School Differently initiative.,3/29/2018,"$750,000",36 months,Education
"A Better City Initiative, Inc.",http://www.abettercity.org,To support increasing Boston business engagement and leadership on clean energy.,3/22/2018,"$80,000",12 months,Climate
"American Repertory Theater Company, Inc.",http://www.americanrepertorytheater.org,"As part of the ArtsAmplified initiative to support the commissioning and development of work that reasserts the theater as a vital public space, both at its two theaters in Harvard Square and throughout Greater Boston.",3/22/2018,"$900,000",36 months,Arts & Creativity
"Boston Harbor Now, Inc.",http://bostonharbornow.org,To provide core support.,3/22/2018,"$900,000",24 months,Special Initiatives
Buck Institute for Education,http://bie.org,"To support the ""Scaling High-Quality, Project-Based Learning for Deeper Learning Impact"" project in Manchester, New Hampshire School District.",3/22/2018,"$200,000",36 months,Education
"Conservation Law Foundation, Inc.",http://www.clf.org,To support advocacy for a regional transportation agreement and to increase representation of equity-based groups in the Transportation for Massachusetts Coalition.,3/22/2018,"$600,000",9 months,Climate
"Conservation Law Foundation, Inc.",http://www.clf.org,"To support advocacy and communications efforts to achieve an accessible, equitable, and climate-resilient Boston waterfront.",3/22/2018,"$1,200,000",24 months,Special Initiatives
EDUCAUSE,http://educause.edu,To support the planning and implementation of Mass Learning Excursions.,3/22/2018,"$700,000",24 months,Education
EDUCAUSE,http://educause.edu,To support the implementation of Mass IDEAS to incubate innovative school models.,3/22/2018,"$3,500,000",40 months,Education
"EdVestors, Inc.",http://www.edvestors.org,To support Boston Public School Arts Expansion Phase IV.,3/22/2018,"$525,000",36 months,Arts & Creativity
